NAICS  Code,Kind of Business,Jan. 2019,Feb. 2019,Mar. 2019,Apr. 2019,May 2019,Jun. 2019,Jul. 2019,Aug. 2019,Sep. 2019,Oct. 2019,Nov. 2019,Dec. 2019,TOTAL,
445,Food and beverage stores,"62,829","56,898","63,504","62,402","66,510","64,479","66,428","66,937","62,420","64,849","66,363","70,028","773,647",
4451,Grocery stores,"57,184","51,284","57,216","56,053","59,656","57,791","59,460","59,954","56,083","58,172","59,224","60,938","693,015",
44511,Supermarkets and other grocery (except convenience) stores,"54,876","49,031","54,609","53,382","56,715","54,902","56,476","56,957","53,251","55,304","56,499","58,214","660,216",
4453,"Beer, wine, and liquor stores","3,933","3,916","4,445","4,358","4,861","4,769","4,993","5,017","4,454","4,676","5,057","6,326","56,805",
446,Health and personal care stores,"28,639","26,772","28,786","28,402","29,487","27,642","28,142","28,528","27,297","29,551","27,844","31,479","342,569",
44611,Pharmacies and drug stores,"24,194","22,372","23,599","23,766","24,612","22,692","23,437","23,562","22,515","24,856","22,815","25,195","283,615",
447,Gasoline stations,"36,439","35,514","42,065","44,270","47,387","44,876","46,392","45,949","42,751","44,348","41,424","40,962","512,377",
448,Clothing and clothing access. stores,"16,155","17,961","22,059","21,500","23,079","21,116","21,742","23,829","19,567","21,400","25,170","35,157","268,735",
4481,Clothing stores,"11,955","12,514","16,212","15,820","16,829","15,728","15,971","17,028","14,374","16,070","18,992","24,357","195,850",
44811,Men's clothing stores,630,591,733,846,852,740,669,714,725,777,830,"1,003","9,110",
44812,Women's clothing stores,"2,400","2,571","3,430","3,438","3,636","3,116","3,104","3,169","2,923","3,226","3,664","4,274","38,951",
44814,Family clothing stores,"6,606","6,905","9,058","8,747","9,381","9,009","9,246","10,034","8,193","9,347","11,232","14,433","112,191",
44819,Other clothing stores,"1,179","1,212","1,458","1,285","1,395","1,496","1,472","1,496","1,225","1,287","1,577","2,296","17,378",
4482,Shoe stores,"2,187","2,722","3,383","3,043","3,018","2,796","3,093","3,988","2,594","2,721","3,038","4,044","36,627",
44831,Jewelry stores,"1,788","2,484","2,197","2,378","2,898","2,291","2,405","2,519","2,330","2,353","2,809","6,188","32,640",
451,"Sporting goods, hobby, musical instrument, and book stores","5,658","5,249","6,353","6,253","6,522","6,671","6,636","7,608","6,325","6,435","7,382","9,665","80,757",
45111,Sporting goods stores,"2,784","2,876","3,700","3,678","3,826","4,165","4,133","4,368","3,403","3,526","3,825","5,337","45,621",
45112,"Hobby, toy, and game stores","1,131","1,088","1,265","1,159","1,235","1,169","1,178","1,269","1,254","1,407","2,064","2,305","16,524",
451211,Book stores,"1,029",585,603,650,696,613,591,"1,124",871,650,640,"1,074","9,126",
452,General merchandise stores,"51,708","50,626","58,788","56,991","60,909","58,979","58,759","61,777","54,785","58,872","66,356","77,926","716,476",
4521,Department stores,"8,681","9,108","10,615","10,422","11,267","10,605","10,610","11,542","9,732","10,441","13,360","18,276","134,659",
452111,Department stores(excl. discount department stores),"2,367","2,641","3,080","3,098","3,287","3,014","2,940","3,054","2,858","2,921","4,135","6,153","39,548",
452112,Discount dept. stores,"6,314","6,467","7,535","7,324","7,980","7,591","7,670","8,488","6,874","7,520","9,225","12,123","95,111",
4529,Other general merchandise stores,"43,027",41518,48173,"46,569","49,642","48,374","48,149","50,235","45,053","48,431","52,996","59,650","581,817",
45291,Warehouse clubs and superstores,"37,147","35,759","41,608","39,923","42,586","41,710","41,581","43,575","38,806","41,653","45,788","51,201","501,337",
45299,All other gen. merchandise stores,"5,880","5,759","6,565","6,646","7,056","6,664","6,568","6,660","6,247","6,778","7,208","8,449","80,480",
453,Miscellaneous store retailers,"9,141","8,938","10,028","10,492","12,343","11,183","11,234","11,689","10,711","11,933","11,641","12,227","131,560",
4532,"Office supplies, stationery, and gift stores","2,039","1,940","2,154","2,166","2,497","2,359","2,595","2,782","2,324","2,846","2,270","2,950","28,922",
45321,Office supplies and stationery stores,"1,014",833,889,848,828,751,891,"1,260",893,831,770,911,"10,719",
45322,"Gift, novelty, and souvenir stores","1,025","1,107","1,265","1,318","1,669","1,608","1,704","1,522","1,431","2,015","1,500","2,039","18,203",
45330,Used merchandise stores,"1,366","1,342","1,526","1,583","1,446","1,415","1,456","1,632","1,557","1,842","1,624","1,511","18,300",
454,Nonstore retailers,"58,403","54,156","58,091","59,140","63,232","58,740","62,532","62,064","58,886","65,195","71,509","89,716","761,664",
4541,Electronic shopping and mail-order houses,"49,099","45,894","49,797","51,785","55,752","51,981","55,604","54,963","51,913","57,196","63,340","80,543","667,867",
45431,Fuel dealers,"4,656","3,987","3,738","2,612","2,193","1,785","1,857","1,954","2,041","2,666","3,371","4,110","34,970",
722,Food services and drinking places,"57,077","57,307","66,690","63,999","68,306","66,674","66,613","68,469","63,520","65,759","63,127","66,004","773,545",
7225,Restaurants and other eating places,"50,245","50,014","58,242","55,676","59,735","58,908","59,300","59,998","54,572","56,410","54,745","57,953","675,798",
722511,Full service restaurants,"24,924","24,992","28,567","27,052","29,627","29,112","29,069","29,623","26,720","27,595","27,221","29,811","334,313",
"722513, 722514, 722515",Limited service eating places,"25,321","25,022","29,675","28,624","30,108","29,796","30,231","30,375","27,852","28,815","27,524","28,142","341,485",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
